wB	wE	BER	Leak	Loss
0.0	1.0	0.50355	0.0	0.0
0.1	0.9	0.50165	0.0	0.06936883926391602
0.2	0.8	0.5031	0.0	0.13860701024532318
0.3	0.7	0.49975	0.0	0.20788763463497162
0.4	0.6	0.1	0.8640241622924805	0.6207618117332458
0.5	0.5	0.0797	0.5887126922607422	0.39039191603660583
0.6	0.4	0.038675	1.0721187591552734	0.5184453129768372
0.7	0.3	0.0276	1.2818164825439453	0.41716182231903076
0.8	0.2	0.017175	1.1176738739013672	0.2371535450220108
0.9	0.1	0.0092	1.2086944580078125	0.12220465391874313
1.0	0.0	0.0	2.7725887298583984	1.0960467022869125e-07
